tray,part,type,description
33,5,True,
33,6,True,
33,7,True,
33,8,True,
33,9,True,
33,10,True,
33,11,False,Hole in the middle and other hole filled
34,0,True,
34,1,True,
34,2,True,
34,3,True,
34,4,True,
34,5,True,
34,6,True,
34,7,True,
34,8,False,Notch on its own
34,9,True,
34,10,True,
34,11,False,Notch is missing
35,0,True,
35,1,True,
35,2,True,
35,3,True,
35,4,True,
35,5,True,
35,6,True,
35,7,True,
35,8,False,Notch on its own
35,9,True,
35,10,True,
35,11,False,Notch is missing
36,0,True,
36,1,True,
36,2,True,
36,3,True,
36,4,True,
36,5,True,
36,6,True,
36,7,True,
36,8,False,No part found
36,9,True,
36,10,True,
36,11,False,Notch is missing and hole is filled
37,0,True,
37,1,True,
37,2,True,
37,3,True,
37,4,True,
37,5,True,
37,6,True,
37,7,True,
37,8,False,No part found
37,9,True,
37,10,True,
37,11,False,Notch is missing and hole is filled
38,0,True,
38,1,True,
38,2,True,
38,3,True,
38,4,True,
38,5,True,
38,6,True,
38,7,True,
38,8,False,No part found
38,9,True,
38,10,True,
38,11,False,Notch is missing and hole is filled
39,0,True,
39,1,True,
39,2,True,
39,3,True,
39,4,True,
39,5,True,
39,6,True,
39,7,True,
39,8,False,No part found
39,9,True,
39,10,True,
39,11,False,Notch is missing and hole is filled
40,0,True,
40,1,True,
40,2,True,
40,3,True,
40,4,True,
40,5,True,
40,6,True,
40,7,True,
40,8,True,
40,9,False,Half split by width including notch
40,10,True,
40,11,True,
41,0,True,
41,1,True,
41,2,True,
41,3,True,
41,4,True,
41,5,True,
41,6,True,
41,7,True,
41,8,True,
41,9,False,Half split by width including notch
41,10,True,
41,11,True,
42,0,True,
42,1,True,
42,2,True,
42,3,True,
42,4,True,
42,5,True,
42,6,True,
42,7,True,
42,8,True,
42,9,False,Half split by width including notch
42,10,True,
42,11,True,
43,0,True,
43,1,True,
43,2,True,
43,3,True,
43,4,True,
43,5,True,
43,6,True,
43,7,False,Half split by length without notch
43,8,False,Notch is missing
43,9,False,Half split by width including notch
43,10,True,
43,11,True,
44,0,True,
44,1,True,
44,2,True,
44,3,True,
44,4,True,
44,5,True,
44,6,True,
44,7,False,Half split by length without notch
44,8,False,Notch is missing
44,9,False,Half split by width including notch
44,10,True,
44,11,True,
45,0,True,
45,1,True,
45,2,True,
45,3,True,
45,4,True,
45,5,True,
45,6,True,
45,7,False,Half split by length without notch
45,8,False,Notch is missing
45,9,False,Half split by width including notch
45,10,True,
45,11,True,
46,0,True,
46,1,True,
46,2,True,
46,3,False,Hole in the middle
46,4,True,
46,5,True,
46,6,True,
46,7,False,Half split by length without notch
46,8,False,Notch is missing
46,9,False,Half split by width including notch
46,10,False,No part found
46,11,True,
47,0,True,
47,1,True,
47,2,True,
47,3,False,Hole in the middle
47,4,True,
47,5,True,
